Gene	AMLstat	factor1	factor2	alpha	ProbStat	ProbFactor	ProbAlpha	CMATstat	AMLpvalue	Probpvalue	CMATpvalue	NumValidSNPs	NumIndepSNPs	TotalRareAlleles
GMDS	2.06962	-1.17611	0.001	0.2	6.26836	-2.69423	0.770599	6.36221	0.0187	0.0157	0.0125	103	15	39
C14orf177	1.32641	-2.323	0.001	0.2	2.71529	-0.309487	1	2.71529	0.0197	0.0197	0.0197	1	1	255
SLC24A2	1.61781	1.43495	0.001	0.2	4.86114	5	0.842833	4.70535	0.0201	0.0201	0.0201	22	7	9
NQO1	1.3052	1.92838	0.001	0.2	2.62571	1.75036	1	2.62571	0.0213	0.0811	0.0871	16	3	10
CNBD1	1.88529	1.50536	0.001	0.2	3.30489	2.00018	0.663677	3.06542	0.0213	0.0633	0.0572	49	8	25
TRAP1	1.43039	-2.08077	0.001	0.2	3.4235	-0.814307	1	3.4235	0.0214	0.016	0.0165	4	2	51
"ANGPT2,MCPH1"	1.91508	2.10497	0.001	0.2	5.05912	2.45788	1	5.05912	0.022	0.022	0.022	18	2	12
GREB1	1.15965	1.85716	0.001	0.2	2.97028	2.23551	1	2.97028	0.0221	0.0221	0.0221	5	2	6
CACNA2D3	1.33237	1.23916	0.001	0.2	3.8954	1.67901	1	3.8954	0.0227	0.0279	0.0285	47	10	14
CALCOCO2	1.4802	-1.83803	0.001	0.2	5.91851	-5	1	5.91851	0.0234	0.0202	0.0202	21	3	10
LRGUK	1.23141	1.94108	0.001	0.2	3.04461	1.52894	1	3.04461	0.024	0.045	0.039	11	2	12
PACSIN1	1.89995	1.87688	0.001	0.2	3.92782	1.64814	1	3.92782	0.0254	0.0617	0.0343	44	4	14
GALNT17	1.40723	1.38783	0.001	0.2	3.41269	2.99298	0.625668	3.39708	0.0261	0.044	0.0411	59	9	14
TSHZ2	0.953371	-2.3044	0.001	0.2	1.84876	-1.65055	0.519181	1.63492	0.0265	0.0524	0.0548	8	3	14
ZBTB7C	0.569743	1.28969	0.001	0.2	1.52304	5	0.636712	1.26586	0.0269	0.0772	0.1695	24	4	5
NRXN3	1.21325	1.02521	0.001	0.2	3.87084	1.42725	1	3.87084	0.0269	0.0236	0.0224	64	12	19
CAMTA1	1.30987	1.13607	0.001	0.2	2.81811	1.26792	0.812653	2.78912	0.0289	0.0498	0.0373	48	15	25
DNASE1	1.16462	-2.23063	0.001	0.2	2.60038	-0.751796	1	2.60038	0.029	0.0212	0.0233	1	1	45
CRISPLD2	1.51075	1.78912	0.001	0.2	5.198	5	1	5.198	0.03	0.03	0.03	23	3	6
EPCAM	1.43114	1.73188	0.001	0.2	5.12811	5	1	5.12811	0.0328	0.0328	0.0328	15	3	6
ABR	2.07615	-1.66277	0.001	0.2	6.73255	-0.483657	1	6.73255	0.0337	0.0028	0.0026	49	13	266
OR1A1	1.18007	-2.23982	0.001	0.2	3.60484	-5	1	3.60484	0.0338	0.0338	0.0338	1	1	6
GAREM1	1.04928	1.1118	0.001	0.2	4.72088	2.38431	1	4.72088	0.0339	0.0278	0.0278	25	7	12
BCKDHB	1.45032	1.79691	0.001	0.2	4.32114	2.09785	1	4.32114	0.0352	0.0352	0.0352	20	3	12
STS	0.957399	2.09807	0.001	0.2	2.21052	0.807836	1	2.21052	0.0364	0.024	0.0277	13	1	29
ZNF846	1.18737	1.91081	0.001	0.2	3.16249	1.72193	1	3.16249	0.0372	0.0372	0.0372	5	2	11
PSG9	0.958176	2.0986	0.001	0.2	2.18793	0.501966	1	2.18793	0.0374	0.0376	0.0374	4	1	73
PTGER3	1.0054	1.8976	0.001	0.2	3.65967	5	1	3.65967	0.0388	0.0388	0.0388	4	2	5
CDH1	1.05849	1.28291	0.001	0.2	1.90232	5	0.387322	1.51435	0.0393	0.0806	0.0934	40	9	82
AFF3	1.1215	1.39256	0.001	0.2	3.62495	5	0.766896	3.49885	0.0394	0.0394	0.0394	37	6	9
ACOXL	1.00945	-1.82631	0.001	0.2	4.04692	-5	1	4.04692	0.0402	0.0402	0.0402	75	2	7
OPCML	1.56659	1.09136	0.001	0.2	3.37911	1.77449	0.603016	2.42382	0.0407	0.0696	0.1111	121	21	34
CYFIP1	0.866517	2.03322	0.001	0.2	2.05829	0.386746	1	2.05829	0.0414	0.0405	0.0438	35	1	120
ESR1	1.01617	0.934377	0.001	0.2	2.7946	1.0817	1	2.7946	0.0421	0.0516	0.0454	70	17	22
ZMIZ1	1.12921	-1.41933	0.001	0.2	4.30184	-1.29501	1	4.30184	0.0432	0.0175	0.0172	13	5	29
BUB1	0.927669	-2.07738	0.001	0.2	2.50848	-1.91953	1	2.50848	0.0436	0.0436	0.0436	3	1	9
HS6ST3	1.58783	1.40464	0.001	0.2	3.40318	5	0.60282	2.9734	0.0441	0.0709	0.1309	80	7	22
TMC2	1.18498	1.64735	0.001	0.2	2.17709	3.43377	0.541605	1.63533	0.0446	0.0894	0.0878	15	5	9
TRIM32	1.13099	2.21034	0.001	0.2	2.40578	0.975398	1	2.40578	0.0463	0.042	0.0389	3	1	22
ALK	0.598756	1.16986	0.001	0.2	1.85467	5	0.680081	1.66471	0.0468	0.0468	0.0366	21	5	6
PCDH7	0.83021	1.15114	0.001	0.2	4.3039	5	1	4.3039	0.0472	0.0472	0.0472	22	5	6
GPR32	1.02052	2.14048	0.001	0.2	2.46818	1.99216	1	2.46818	0.0474	0.0474	0.0474	1	1	7
MTR	2.1017	1.51413	0.001	0.2	5.52045	1.86213	1	5.52045	0.0481	0.0713	0.0706	250	7	16
EYS	2.59112	-1.40646	0.001	0.2	5.60367	-1.23339	0.708749	2.08665	0.0482	0.0353	0.1803	180	15	140
MDGA2	0.840647	-1.43462	0.001	0.2	3.76654	-5	1	3.76654	0.0502	0.0502	0.0502	64	3	5
ZNF286A	0.671622	1.87436	0.001	0.2	1.72122	0.575646	1	1.72122	0.0516	0.0516	0.0516	3	1	45
MGMT	0.733128	1.4492	0.001	0.2	1.70579	2.30019	0.671338	1.47797	0.0517	0.103	0.1421	21	4	9
MALRD1	1.37948	1.34218	0.001	0.2	3.91336	0.597061	1	3.91336	0.0517	0.0253	0.0238	125	8	96
NIPA2	0.666064	1.86933	0.001	0.2	1.73977	0.36513	1	1.73977	0.0521	0.0511	0.0572	5	1	114
ABCA7	1.07421	-1.84221	0.001	0.2	3.83663	-5	1	3.83663	0.0525	0.0525	0.0525	5	2	5
AVEN	0.533613	1.42605	0.001	0.2	1.88327	1.45466	1	1.88327	0.0546	0.075	0.0841	11	2	10
A4GALT	1.32375	1.66454	0.001	0.2	4.67536	5	1	4.67536	0.0553	0.0553	0.0553	39	3	5
SLC6A19	0.648196	-1.14946	0.001	0.2	3.44615	-5	1	3.44615	0.0555	0.0555	0.0555	27	4	5
CNTN5	1.63406	-1.04378	0.001	0.2	4.85514	-5	0.534061	1.7161	0.0555	0.0176	0.086	135	19	196
TIMM23B	1.55213	-1.84357	0.001	0.2	3.92982	-5	0.538029	3.83385	0.0568	0.0889	0.0889	61	5	15
KIAA2026	0.98529	-2.11705	0.001	0.2	3.16533	-5	1	3.16533	0.0569	0.0569	0.0569	5	1	5
PUDP	0.714176	1.91184	0.001	0.2	1.82839	0.717697	1	1.82839	0.0582	0.0397	0.0478	4	1	30
SYNE1	0.785809	-1.04772	0.001	0.2	4.61603	-5	1	4.61603	0.059	0.0209	0.0209	58	6	8
"ASTN2,TRIM32"	0.875006	2.03948	0.001	0.2	2.04147	0.916116	1	2.04147	0.0598	0.0699	0.0638	3	1	21
TUBGCP5	0.637342	1.84279	0.001	0.2	1.6899	0.350073	1	1.6899	0.06	0.0581	0.0673	8	1	120
VSTM1	1.18708	1.34835	0.001	0.2	4.83296	2.42577	1	4.83296	0.0601	0.0291	0.0291	19	5	12
VPS53	1.33391	-1.2639	0.001	0.2	2.81354	-5	0.603533	2.48145	0.0602	0.0665	0.0563	117	8	103
SSX7	0.973035	2.10876	0.001	0.2	3.13866	5	1	3.13866	0.0606	0.0606	0.0606	2	1	5
HNRNPCL2	0.634278	-1.83991	0.001	0.2	1.72198	-0.478256	1	1.72198	0.0619	0.0755	0.0761	1	1	68
BMP15	1.07161	2.17342	0.001	0.2	3.29864	5	1	3.29864	0.0623	0.0623	0.0623	11	1	5
SHISA9	0.788255	-1.58704	0.001	0.2	3.53616	-5	1	3.53616	0.0629	0.035	0.035	9	2	6
ADGB	1.53476	1.58031	0.001	0.2	4.5138	2.48226	1	4.5138	0.0654	0.07	0.0485	19	4	9
MTMR3	0.664608	-1.5221	0.001	0.2	1.96644	-0.773259	1	1.96644	0.0665	0.05	0.062	24	2	32
OR6A2	0.712999	1.91083	0.001	0.2	1.81436	0.874168	1	1.81436	0.067	0.067	0.067	1	1	20
ARL15	0.837835	1.26353	0.001	0.2	3.20514	2.13135	1	3.20514	0.0678	0.0644	0.0353	33	5	9
TGFBR3	0.633022	1.27864	0.001	0.2	0.917174	5	0.523374	0.906407	0.0681	0.1811	0.1453	25	3	48
STX8	1.50786	-1.36521	0.001	0.2	4.22687	-1.45806	1	4.22687	0.0694	0.088	0.0802	32	8	20
DRD2	0.690946	-1.39929	0.001	0.2	3.50396	-5	1	3.50396	0.0723	0.0567	0.0567	10	3	6
LMCD1	1.17182	-1.83019	0.001	0.2	2.58966	-1.59567	1	2.58966	0.0729	0.1755	0.1897	18	3	10
CYP2B6	1.32207	-1.27488	0.001	0.2	4.47315	-5	0.797401	3.24041	0.0734	0.0541	0.1078	37	7	25
ABO	0.665623	1.86893	0.001	0.2	1.76176	1.43453	1	1.76176	0.074	0.0996	0.0977	4	1	8
ZNF630	0.558165	-1.76435	0.001	0.2	1.54869	-0.194047	1	1.54869	0.0747	0.0675	0.0675	16	1	358
APCS	0.695286	-1.89543	0.001	0.2	2.67658	-5	1	2.67658	0.075	0.075	0.075	1	1	5
OR10J5	0.695286	-1.89543	0.001	0.2	2.67658	-5	1	2.67658	0.075	0.075	0.075	1	1	5
TRIM61	1.52191	-1.71016	0.001	0.2	4.95124	-2.42857	1	4.95124	0.0755	0.0755	0.0755	15	3	12
PCDH15	0.9264	1.09931	0.001	0.2	1.87511	1.85949	0.662023	1.79401	0.0762	0.1213	0.1025	79	9	16
CCND3	1.08279	1.32982	0.001	0.2	2.01469	1.57427	0.700607	1.72246	0.0763	0.1583	0.1344	78	6	23
BCAS3	0.570603	-1.53877	0.001	0.2	1.84745	-0.574945	1	1.84745	0.0764	0.0587	0.0619	21	2	51
"NBPF10,NBPF19,NBPF20"	0.848676	-1.79572	0.001	0.2	1.17158	-1.88461	0.460596	1.55089	0.0771	0.2145	0.1521	38	2	38
PLAC9	0.688008	-1.88901	0.001	0.2	2.64833	-5	1	2.64833	0.078	0.078	0.078	1	1	5
TMEM254	0.688008	-1.88901	0.001	0.2	2.64833	-5	1	2.64833	0.078	0.078	0.078	3	1	5
SH3GL2	1.35005	1.32173	0.001	0.2	5.10085	1.97647	1	5.10085	0.078	0.064	0.054	48	6	17
GYPA	0.556627	1.89732	0.001	0.2	1.56558	0.90943	1	1.56558	0.0786	0.132	0.1325	4	2	17
PDPR	1.22247	1.71646	0.001	0.2	2.67127	5	0.614358	2.32609	0.0791	0.0933	0.1708	3	3	18
CEP78	0.667486	1.90882	0.001	0.2	1.56825	1.35818	1	1.56825	0.0816	0.2564	0.2564	4	2	8
ZNF878	0.772955	1.7943	0.001	0.2	1.43969	1.42152	1	1.43969	0.082	0.3354	0.3354	4	2	6
BTN2A2	0.623845	-1.82999	0.001	0.2	2.53946	-5	1	2.53946	0.0827	0.0827	0.0827	10	1	5
PEAK1	1.35457	1.68503	0.001	0.2	3.85317	1.657	1	3.85317	0.0844	0.046	0.057	14	3	14
ST6GALNAC3	0.847821	-1.0993	0.001	0.2	3.48481	-1.70621	1	3.48481	0.0844	0.0753	0.0707	83	7	20
IGSF21	0.53221	-1.7367	0.001	0.2	1.57686	-0.818796	1	1.57686	0.0859	0.0859	0.0859	4	1	22
EFR3B	0.538841	1.04177	0.001	0.2	1.79961	1.50941	1	1.79961	0.0885	0.1723	0.1692	11	5	8
RILPL2	0.633013	1.57186	0.001	0.2	2.18016	2.38894	1	2.18016	0.0902	0.2438	0.2438	5	2	5
ABCC4	0.57281	1.2062	0.001	0.2	2.37046	2.40338	1	2.37046	0.0928	0.2486	0.2486	47	4	5
UTS2B	0.940661	-1.7904	0.001	0.2	3.1229	-2.08512	1	3.1229	0.0931	0.0525	0.0525	12	2	10
"NPY4R,NPY4R2"	0.60651	-1.81322	0.001	0.2	1.73314	-0.921295	1	1.73314	0.0932	0.0859	0.094	2	1	21
SYT15	0.60651	-1.81322	0.001	0.2	1.73314	-0.921295	1	1.73314	0.0932	0.0859	0.094	9	1	21
ATG7	0.869031	-1.42874	0.001	0.2	4.19202	-5	1	4.19202	0.0934	0.0764	0.0764	19	3	7
DAB2IP	0.724298	1.22959	0.001	0.2	1.49086	5	0.502149	1.26807	0.0934	0.1483	0.2213	58	6	10
TM4SF5	0.601714	1.80852	0.001	0.2	1.66093	1.04003	1	1.66093	0.0945	0.0532	0.0532	2	1	14
C9orf135	0.57852	-1.52041	0.001	0.2	2.82552	-5	1	2.82552	0.0948	0.0708	0.0708	5	2	5
KCNMA1	0.482142	1.12349	0.001	0.2	1.76872	1.85349	1	1.76872	0.0954	0.1615	0.142	19	3	5
RARRES1	0.780878	-1.59066	0.001	0.2	2.79218	-1.98403	1	2.79218	0.0955	0.0575	0.0575	7	2	10
ITGA6	0.335307	1.13822	0.001	0.2	1.3716	1.76774	1	1.3716	0.0958	0.2807	0.2487	8	3	5
SLC25A24	0.581193	-1.78804	0.001	0.2	2.53529	-5	1	2.53529	0.0964	0.0964	0.0964	3	1	6
TENM4	0.505221	-1.34494	0.001	0.2	1.96342	-5	0.607213	1.59619	0.0968	0.0726	0.1454	53	4	9
TMEM117	1.05531	1.44539	0.001	0.2	3.03368	5	0.730363	2.84846	0.0982	0.1801	0.1801	18	5	7
ZNF415	0.501999	1.33823	0.001	0.2	1.3483	0.67633	1	1.3483	0.1002	0.1291	0.1432	6	2	26
RASGEF1C	1.02041	1.352	0.001	0.2	3.15084	1.56855	1	3.15084	0.1005	0.1023	0.1114	16	6	13
GPM6A	0.367431	-0.968743	0.001	0.2	1.05143	-1.45289	1	1.05143	0.1015	0.286	0.204	13	4	5
BRINP3	1.06166	1.48745	0.001	0.2	2.97143	2.25509	1	2.97143	0.1037	0.1037	0.1037	23	4	6
VPS13C	0.7208	1.32108	0.001	0.2	2.29293	1.512	1	2.29293	0.1044	0.2034	0.2034	41	3	9
MTUS1	0.506925	-1.7087	0.001	0.2	1.67831	-1.67311	1	1.67831	0.1072	0.1358	0.1358	44	1	9
ATP11A	0.525216	1.20645	0.001	0.2	2.263	1.86639	1	2.263	0.1082	0.1082	0.1082	15	3	8
CACNA2D1	0.468326	1.12913	0.001	0.2	1.3079	1.36716	1	1.3079	0.1084	0.1812	0.1812	26	3	7
TYW1	0.562689	1.47202	0.001	0.2	2.04574	2.27607	1	2.04574	0.1097	0.2546	0.2546	15	2	5
CSHL1	0.640151	-1.4901	0.001	0.2	2.1132	-1.08448	1	2.1132	0.1112	0.083	0.083	2	2	18
MMD2	0.50095	-1.70191	0.001	0.2	1.56538	-1.07574	1	1.56538	0.1116	0.0646	0.0533	9	1	16
LILRB5	1.01827	1.5359	0.001	0.2	2.71761	0.826081	1	2.71761	0.1121	0.1138	0.1123	9	3	35
OR52A1	0.501884	1.70298	0.001	0.2	1.57882	1.71198	1	1.57882	0.1129	0.1129	0.0961	5	1	6
FGF12	0.927887	-1.08962	0.001	0.2	4.08752	-2.20669	1	4.08752	0.1133	0.0391	0.0499	38	7	14
KCNG4	0.818406	-1.74437	0.001	0.2	1.99658	-1.40412	1	1.99658	0.1134	0.1684	0.1684	13	2	11
RAP1GAP2	1.26609	1.23861	0.001	0.2	2.88224	1.22163	1	2.88224	0.1135	0.17	0.1991	30	8	17
ANXA11	1.02311	-1.72905	0.001	0.2	4.30434	-5	1	4.30434	0.1137	0.078	0.078	5	2	8
LSAMP	0.599459	1.06389	0.001	0.2	1.57861	1.40392	1	1.57861	0.1151	0.2175	0.2175	22	6	7
GPRC6A	0.754099	-1.43225	0.001	0.2	3.49612	-5	1	3.49612	0.1157	0.1157	0.1157	9	3	5
NRXN1	1.66166	1.47181	0.001	0.2	2.40646	0.319995	1	2.40646	0.1162	0.1769	0.1703	147	17	204
DCLRE1C	0.884516	1.45994	0.001	0.2	1.76216	2.21341	0.62572	0.902155	0.1164	0.1513	0.3034	11	4	33
RNLS	0.9006	1.51649	0.001	0.2	2.16147	5	0.667629	2.12451	0.1166	0.1166	0.1166	29	4	5
MAVS	0.611467	-1.59754	0.001	0.2	2.86237	-5	1	2.86237	0.1184	0.1184	0.1184	9	2	5
CALN1	1.18379	-1.23385	0.001	0.2	4.90595	-1.90509	1	4.90595	0.1193	0.0457	0.0447	65	6	18
MACROD2	1.63065	-1.08144	0.001	0.2	0.881398	-5	0.214819	1.95411	0.1205	0.3665	0.1943	140	23	816
C16orf95	0.835935	-1.67885	0.001	0.2	3.42049	-5	1	3.42049	0.1218	0.1218	0.1218	5	2	5
BICD1	0.95849	-0.920058	0.001	0.2	3.92578	-1.00299	1	3.92578	0.1225	0.071	0.0517	122	11	46
ADARB2	0.692644	1.41603	0.001	0.2	2.04512	0.787485	1	2.04512	0.1227	0.1129	0.0735	76	4	29
C16orf74	0.663559	-1.31679	0.001	0.2	3.49629	-5	1	3.49629	0.1236	0.1236	0.1236	9	3	6
ANKRD35	0.530779	-1.73514	0.001	0.2	1.69275	-1.68796	1	1.69275	0.1241	0.1241	0.1241	5	1	7
"ANKRD35,NBPF10,NBPF19,NBPF20"	0.530779	-1.73514	0.001	0.2	1.69275	-1.68796	1	1.69275	0.1241	0.1241	0.1241	11	1	7
"HFE2,NBPF10,NBPF19,NBPF20"	0.530779	-1.73514	0.001	0.2	1.69275	-1.68796	1	1.69275	0.1241	0.1241	0.1241	2	1	7
ITGA10	0.530779	-1.73514	0.001	0.2	1.69275	-1.68796	1	1.69275	0.1241	0.1241	0.1241	4	1	7
"ITGA10,NBPF10,NBPF19,NBPF20"	0.530779	-1.73514	0.001	0.2	1.69275	-1.68796	1	1.69275	0.1241	0.1241	0.1241	5	1	7
LIX1L	0.530779	-1.73514	0.001	0.2	1.69275	-1.68796	1	1.69275	0.1241	0.1241	0.1241	1	1	7
"LIX1L,NBPF10,NBPF19,NBPF20"	0.530779	-1.73514	0.001	0.2	1.69275	-1.68796	1	1.69275	0.1241	0.1241	0.1241	3	1	7
"NBPF10,NBPF19,NBPF20,NUDT17"	0.530779	-1.73514	0.001	0.2	1.69275	-1.68796	1	1.69275	0.1241	0.1241	0.1241	3	1	7
"NBPF10,NBPF19,NBPF20,PEX11B"	0.530779	-1.73514	0.001	0.2	1.69275	-1.68796	1	1.69275	0.1241	0.1241	0.1241	2	1	7
"NBPF10,NBPF19,NBPF20,POLR3GL"	0.530779	-1.73514	0.001	0.2	1.69275	-1.68796	1	1.69275	0.1241	0.1241	0.1241	3	1	7
PIAS3	0.530779	-1.73514	0.001	0.2	1.69275	-1.68796	1	1.69275	0.1241	0.1241	0.1241	3	1	7
POLR3C	0.530779	-1.73514	0.001	0.2	1.69275	-1.68796	1	1.69275	0.1241	0.1241	0.1241	10	1	7
TXNIP	0.530779	-1.73514	0.001	0.2	1.69275	-1.68796	1	1.69275	0.1241	0.1241	0.1241	1	1	7
"MSMB,TIMM23B"	1.28906	-1.85289	0.001	0.2	4.76664	-5	1	4.76664	0.1242	0.0692	0.0692	12	2	8
MLIP	0.683135	1.17249	0.001	0.2	3.54375	5	1	3.54375	0.1248	0.1248	0.1248	7	4	5
QKI	0.804577	1.74064	0.001	0.2	2.65963	2.49083	1	2.65963	0.1252	0.1252	0.1252	4	2	6
BRIP1	0.685951	1.31937	0.001	0.2	3.5642	5	1	3.5642	0.1261	0.072	0.072	10	3	6
VIT	0.719919	1.66664	0.001	0.2	3.13552	5	1	3.13552	0.1263	0.1263	0.1263	29	2	5
CATSPERB	0.765852	-1.34204	0.001	0.2	4.07098	-5	1	4.07098	0.1263	0.0539	0.0539	30	4	7
MPHOSPH6	0.45554	-1.64812	0.001	0.2	1.50099	-1.22465	1	1.50099	0.1272	0.1272	0.1272	9	1	11
AASS	0.390949	-1.56358	0.001	0.2	1.28013	-0.894282	1	1.28013	0.1273	0.1273	0.1273	5	1	15
STARD13	0.805703	1.24204	0.001	0.2	3.51999	2.59213	1	3.51999	0.1274	0.1231	0.1231	96	4	8
PCDHB3	0.507505	1.34008	0.001	0.2	1.20977	0.798892	1	1.20977	0.1278	0.149	0.1498	3	2	16
SYNJ2	0.865964	1.47768	0.001	0.2	2.47775	2.05336	1	2.47775	0.1317	0.2732	0.2289	19	3	6
TCFL5	0.855381	-1.3913	0.001	0.2	3.06241	-5	0.714833	2.53034	0.1324	0.1209	0.1209	9	5	9
PTPRN2	1.02255	-1.00092	0.001	0.2	4.78155	-2.36759	1	4.78155	0.1327	0.081	0.0808	71	9	15
SNTG2	0.437004	-1.6406	0.001	0.2	1.28857	-1.50219	1	1.28857	0.1335	0.1513	0.1513	45	2	7
OR51S1	0.405932	-1.58415	0.001	0.2	1.34061	-0.889316	1	1.34061	0.134	0.134	0.134	3	1	17
MOB3B	0.715128	1.16204	0.001	0.2	1.90449	5	0.66793	1.81473	0.1345	0.2139	0.1971	30	5	9
CENPN	0.952728	1.55324	0.001	0.2	2.44325	2.05853	1	2.44325	0.1356	0.2324	0.2324	6	3	6
PRKCA	0.749572	1.14056	0.001	0.2	1.64898	5	0.375477	0.881257	0.1362	0.1653	0.2586	79	7	55
APBA2	0.63851	1.1492	0.001	0.2	2.35503	1.94932	1	2.35503	0.1369	0.1191	0.1191	21	4	7
ABCC6	0.613633	1.52546	0.001	0.2	1.84136	0.394931	1	1.84136	0.1379	0.1096	0.1006	33	3	101
DNAH14	0.84611	1.1294	0.001	0.2	3.32158	5	0.798078	3.08995	0.138	0.1224	0.1224	24	7	10
HOPX	0.519573	1.35139	0.001	0.2	1.58781	1.7693	1	1.58781	0.1382	0.2479	0.2479	7	2	5
FAM19A5	0.492811	-0.904415	0.001	0.2	3.33722	-5	1	3.33722	0.1389	0.0897	0.089	29	6	8
CADPS	0.631373	1.24863	0.001	0.2	2.50693	5	0.512973	0.544917	0.1391	0.0809	0.4364	19	5	15
GRID1	0.860535	1.05348	0.001	0.2	1.7302	5	0.423154	0.902079	0.1391	0.2119	0.391	127	11	25
SHPK	0.309175	1.43855	0.001	0.2	1.02489	0.310924	1	1.02489	0.1401	0.1335	0.1265	7	1	88
PDGFRL	0.552177	-1.47592	0.001	0.2	2.80641	-5	1	2.80641	0.1404	0.1364	0.1364	25	2	6
STXBP4	0.489161	-1.06203	0.001	0.2	1.50397	-5	0.65364	0.0348701	0.1405	0.1392	0.8152	34	5	19
Sep-09	0.436261	-1.21824	0.001	0.2	1.26766	-1.57472	1	1.26766	0.1415	0.1862	0.1862	9	3	5
AKR1B1	0.58007	1.59431	0.001	0.2	1.7569	0.857201	1	1.7569	0.1424	0.1659	0.1622	3	2	21
IL33	0.503777	-1.35193	0.001	0.2	1.86726	-1.76763	1	1.86726	0.143	0.129	0.152	41	2	7
ZNF160	0.388805	1.23718	0.001	0.2	1.25822	0.65441	1	1.25822	0.1431	0.1322	0.1275	12	2	26
PAK5	1.23806	1.53074	0.001	0.2	3.56977	2.378	1	3.56977	0.1453	0.1174	0.1453	51	4	7
TNFAIP8	0.334944	-1.48057	0.001	0.2	1.12751	-0.49977	1	1.12751	0.1458	0.1458	0.1458	3	1	42
SEC14L5	0.771497	1.45599	0.001	0.2	1.87811	0.847281	1	1.87811	0.1481	0.195	0.2106	39	3	22
TMEM128	0.668365	1.6418	0.001	0.2	1.57606	1.34435	1	1.57606	0.1487	0.2854	0.2377	5	2	8
DPP6	0.96017	1.83818	0.001	0.2	1.74033	5	0.255838	0.389203	0.1487	0.1921	0.5296	153	7	56
LMTK2	0.440555	1.08927	0.001	0.2	1.7184	1.76636	1	1.7184	0.1493	0.0895	0.0627	8	3	6
ZNF737	0.377242	-1.5442	0.001	0.2	1.2737	-0.783839	1	1.2737	0.1505	0.127	0.1435	2	1	21
CEACAM3	0.765928	1.35887	0.001	0.2	2.42758	2.02573	1	2.42758	0.1524	0.1524	0.1524	10	3	7
TANGO2	0.324419	1.13971	0.001	0.2	1.03381	0.465627	1	1.03381	0.1529	0.1448	0.1886	4	2	40
