Gene	AMLstat	factor1	factor2	alpha	ProbStat	ProbFactor	ProbAlpha	CMATstat	AMLpvalue	Probpvalue	CMATpvalue	NumValidSNPs	NumIndepSNPs	TotalRareAlleles	cnv_call
TRIM32	1.55611	2.44201	0.001	0.2	2.7682	1.12398	1	2.7682	0.0225	0.0192	0.0143	3	1	19	del
AVEN	0.653497	1.85783	0.001	0.2	1.68397	1.49181	1	1.68397	0.0234	0.1008	0.1008	6	1	8	del
HS6ST3	2.08238	1.60415	0.001	0.2	4.12932	5	0.629943	2.8964	0.0246	0.0773	0.1019	80	7	18	del
ARHGAP24	1.76171	1.77377	0.001	0.2	4.18065	5	0.744718	3.85682	0.0248	0.0248	0.0352	14	5	7	del
OR52A1	1.5009	2.4145	0.001	0.2	2.92109	2.30303	1	2.92109	0.0252	0.0217	0.0252	5	1	6	del
MTHFD2L	1.12192	-2.09221	0.001	0.2	4.42783	-5	1	4.42783	0.0258	0.0105	0.0105	13	2	10	del
CNBD1	2.25189	1.63782	0.001	0.2	3.61684	5	0.505064	3.14445	0.0269	0.0786	0.0797	49	8	20	del
ALK	0.835933	1.4929	0.001	0.2	2.02019	5	0.656471	1.89391	0.0271	0.1192	0.1192	10	4	5	del
NRXN3	1.23514	1.28308	0.001	0.2	2.89284	1.40015	1	2.89284	0.0272	0.0535	0.0446	50	8	13	del
"NPY4R,NPY4R2"	1.37141	-2.34732	0.001	0.2	3.55735	-2.05705	1	3.55735	0.0272	0.0094	0.0154	2	1	17	del
SYT15	1.37141	-2.34732	0.001	0.2	3.55735	-2.05705	1	3.55735	0.0272	0.0094	0.0154	9	1	17	del
CCND3	1.75028	1.56204	0.001	0.2	2.87078	1.74941	0.761313	2.67685	0.032	0.0822	0.0719	78	6	21	del
MMD2	1.62615	-2.06416	0.001	0.2	6.19936	-5	1	6.19936	0.0322	0.0139	0.0139	9	2	17	del
SH3GL2	1.60114	1.48467	0.001	0.2	4.58288	1.94804	1	4.58288	0.0325	0.0861	0.067	48	7	13	del
RARB	1.31262	1.47959	0.001	0.2	3.23713	1.61031	1	3.23713	0.0344	0.0363	0.0331	24	6	11	del
GMDS	1.79452	-1.09548	0.001	0.2	8.91679	-5	0.815467	8.53064	0.0345	0.0019	0.0019	103	17	36	del
CAMTA1	1.37509	1.2165	0.001	0.2	2.31696	1.01687	1	2.31696	0.0354	0.0769	0.0613	44	13	19	del
GALNT17	1.74499	1.48199	0.001	0.2	3.75546	1.68081	1	3.75546	0.0357	0.115	0.1018	54	9	12	del
ASPH	0.797577	1.66029	0.001	0.2	2.07245	1.427	1	2.07245	0.0364	0.0524	0.057	9	3	9	del
"ASTN2,TRIM32"	1.13241	2.2112	0.001	0.2	2.26775	1.04521	1	2.26775	0.0369	0.0299	0.0329	3	1	18	del
PUDP	1.15838	2.2269	0.001	0.2	2.36526	0.864876	1	2.36526	0.0372	0.0368	0.0364	4	1	26	del
APBA2	1.23008	1.47531	0.001	0.2	3.67039	2.36515	1	3.67039	0.0379	0.0379	0.0323	21	4	7	del
VIT	1.25143	1.67334	0.001	0.2	4.51996	5	1	4.51996	0.0385	0.0385	0.0385	29	3	5	del
TMEM128	1.47763	2.08934	0.001	0.2	2.75356	1.74734	1	2.75356	0.0385	0.1671	0.1863	5	2	8	del
ABCC4	1.08529	1.56214	0.001	0.2	3.27069	2.73217	1	3.27069	0.0398	0.0445	0.0481	47	4	5	del
TM4SF5	0.546788	1.75236	0.001	0.2	1.4813	1.08394	1	1.4813	0.0408	0.1172	0.1172	2	1	11	del
PEAK1	1.62962	1.75267	0.001	0.2	4.10281	1.77824	1	4.10281	0.0421	0.0748	0.0677	14	3	12	del
LMTK2	0.500306	1.36727	0.001	0.2	1.75332	1.85945	1	1.75332	0.0422	0.139	0.1536	7	2	5	del
DPY19L2	0.86177	-2.02969	0.001	0.2	2.1284	-0.377287	1	2.1284	0.0426	0.0426	0.0426	6	1	157	del
AKR1B1	1.40135	2.27223	0.001	0.2	2.80892	1.13321	1	2.80892	0.0447	0.0799	0.0744	3	2	19	del
HNRNPCL2	0.864902	-2.03202	0.001	0.2	2.19939	-0.640387	1	2.19939	0.0469	0.0407	0.0346	1	1	58	del
CEP78	0.908075	2.06739	0.001	0.2	1.82982	1.52237	1	1.82982	0.0483	0.1825	0.154	4	2	7	del
TYW1	1.22484	1.91748	0.001	0.2	3.06626	2.65325	1	3.06626	0.0487	0.0487	0.0487	15	2	5	del
KCNMA1	0.782051	1.35501	0.001	0.2	2.41843	2.14142	1	2.41843	0.0495	0.0409	0.0409	19	3	5	del
RASGEF1C	0.818782	1.44156	0.001	0.2	2.38387	1.61876	1	2.38387	0.0501	0.2231	0.1947	16	5	9	del
PDPR	1.39037	1.82934	0.001	0.2	2.31294	5	0.584804	2.28172	0.0505	0.1033	0.1187	3	3	14	del
ERG	0.648289	1.85302	0.001	0.2	1.61009	0.982426	1	1.61009	0.0543	0.0683	0.0785	4	1	14	del
RABGAP1L	1.65318	1.87046	0.001	0.2	2.99338	1.25177	1	2.99338	0.0545	0.1954	0.1885	23	5	17	del
"NBPF10,NBPF19,NBPF20"	1.09274	-1.85158	0.001	0.2	2.53301	-1.00039	1	2.53301	0.0548	0.0762	0.0751	38	2	32	del
ZNF286A	0.754556	1.94582	0.001	0.2	1.80989	0.620098	1	1.80989	0.06	0.06	0.06	3	1	39	del
GRID1	1.40962	1.44877	0.001	0.2	2.18341	5	0.397556	1.67998	0.0645	0.1598	0.1675	120	9	22	del
PCDH15	1.27426	1.50879	0.001	0.2	2.11419	4.96487	0.464095	1.45356	0.0646	0.1643	0.2323	66	7	12	del
GH2	0.776626	-1.9638	0.001	0.2	2.20931	-1.0206	1	2.20931	0.0649	0.0435	0.0435	1	1	28	del
ATF7IP2	1.1548	1.71033	0.001	0.2	2.17482	5	0.48437	0.791855	0.067	0.2458	0.5293	13	5	10	del
FGF14	0.828749	1.30569	0.001	0.2	2.19995	1.34143	1	2.19995	0.0689	0.1316	0.1788	71	6	12	del
TTC6	0.969127	-1.57428	0.001	0.2	3.439	-1.14093	1	3.439	0.0691	0.0159	0.0135	18	4	33	del
HOPX	0.822488	1.59951	0.001	0.2	2.3466	2.10867	1	2.3466	0.0716	0.0716	0.0716	7	2	5	del
GYPA	0.691044	2.01436	0.001	0.2	1.60503	1.02161	1	1.60503	0.074	0.1517	0.1517	4	2	14	del
NQO1	1.06526	2.0189	0.001	0.2	2.01637	2.36622	0.613885	1.97671	0.0744	0.279	0.2783	16	4	8	del
ATP11A	0.60746	1.2469	0.001	0.2	2.27529	1.98547	1	2.27529	0.0764	0.1476	0.1476	15	3	6	del
C8orf34	0.901359	1.45901	0.001	0.2	3.90307	5	1	3.90307	0.0766	0.0766	0.0766	57	3	5	del
CDH1	0.762724	1.19633	0.001	0.2	0.80378	3.00025	0.353007	0.638399	0.0769	0.2189	0.2807	36	8	65	del
KRT6C	1.39305	2.02333	0.001	0.2	1.53971	0.338406	1	1.53971	0.0771	0.2489	0.2538	3	3	117	del
TMC2	0.828676	1.58211	0.001	0.2	1.14562	2.30813	0.560027	0.974628	0.0818	0.1934	0.1934	13	4	7	del
PTGIS	0.890145	-1.65295	0.001	0.2	2.84753	-0.922757	1	2.84753	0.0822	0.0448	0.0455	15	2	38	del
EYS	2.36919	-1.27206	0.001	0.2	6.2913	-1.55109	0.700906	2.53493	0.0822	0.046	0.1917	180	17	131	del
ZNF737	0.378741	-1.54635	0.001	0.2	1.3509	-0.94746	1	1.3509	0.0837	0.1041	0.1385	2	1	19	del
RMDN2	1.18274	1.57786	0.001	0.2	3.51518	2.32513	1	3.51518	0.0838	0.0838	0.0838	9	3	7	del
GRIA1	0.42903	1.77582	0.001	0.2	0.839383	1.22723	1	0.839383	0.0845	0.3144	0.3144	8	2	6	del
EXOC4	1.77972	1.83022	0.001	0.2	1.97271	1.49399	0.296102	1.31383	0.0848	0.2198	0.2663	47	12	58	del
PRKCI	0.634708	1.84031	0.001	0.2	1.54395	1.48271	1	1.54395	0.085	0.1826	0.1826	4	1	6	del
IGSF21	0.593759	-1.80065	0.001	0.2	1.83984	-1.0857	1	1.83984	0.085	0.085	0.085	4	1	19	del
CLNK	0.484414	1.41162	0.001	0.2	1.24056	0.656998	1	1.24056	0.085	0.109	0.1229	9	3	24	del
DNAH14	0.931575	1.39242	0.001	0.2	2.54163	5	0.710064	2.22239	0.0852	0.1966	0.1966	23	5	6	del
ANKRD35	0.705693	-1.90451	0.001	0.2	2.80193	-5	1	2.80193	0.0871	0.0588	0.0588	5	1	6	del
"ANKRD35,NBPF10,NBPF19,NBPF20"	0.705693	-1.90451	0.001	0.2	2.80193	-5	1	2.80193	0.0871	0.0588	0.0588	11	1	6	del
"HFE2,NBPF10,NBPF19,NBPF20"	0.705693	-1.90451	0.001	0.2	2.80193	-5	1	2.80193	0.0871	0.0588	0.0588	2	1	6	del
ITGA10	0.705693	-1.90451	0.001	0.2	2.80193	-5	1	2.80193	0.0871	0.0588	0.0588	4	1	6	del
"ITGA10,NBPF10,NBPF19,NBPF20"	0.705693	-1.90451	0.001	0.2	2.80193	-5	1	2.80193	0.0871	0.0588	0.0588	5	1	6	del
LIX1L	0.705693	-1.90451	0.001	0.2	2.80193	-5	1	2.80193	0.0871	0.0588	0.0588	1	1	6	del
"LIX1L,NBPF10,NBPF19,NBPF20"	0.705693	-1.90451	0.001	0.2	2.80193	-5	1	2.80193	0.0871	0.0588	0.0588	3	1	6	del
"NBPF10,NBPF19,NBPF20,NUDT17"	0.705693	-1.90451	0.001	0.2	2.80193	-5	1	2.80193	0.0871	0.0588	0.0588	3	1	6	del
"NBPF10,NBPF19,NBPF20,PEX11B"	0.705693	-1.90451	0.001	0.2	2.80193	-5	1	2.80193	0.0871	0.0588	0.0588	2	1	6	del
"NBPF10,NBPF19,NBPF20,POLR3GL"	0.705693	-1.90451	0.001	0.2	2.80193	-5	1	2.80193	0.0871	0.0588	0.0588	3	1	6	del
PIAS3	0.705693	-1.90451	0.001	0.2	2.80193	-5	1	2.80193	0.0871	0.0588	0.0588	3	1	6	del
POLR3C	0.705693	-1.90451	0.001	0.2	2.80193	-5	1	2.80193	0.0871	0.0588	0.0588	10	1	6	del
TXNIP	0.705693	-1.90451	0.001	0.2	2.80193	-5	1	2.80193	0.0871	0.0588	0.0588	1	1	6	del
C7orf50	1.09588	1.74321	0.001	0.2	1.45537	5	0.351571	0.490363	0.0871	0.217	0.3997	25	7	12	del
CA6	0.724537	1.53475	0.001	0.2	2.11603	2.00226	1	2.11603	0.0888	0.0888	0.0888	8	2	5	del
THSD7B	1.47842	1.24597	0.001	0.2	2.69037	0.840192	1	2.69037	0.0892	0.1351	0.1172	103	10	31	del
COMMD1	0.833842	1.45873	0.001	0.2	1.29496	5	0.554087	1.36443	0.0894	0.2224	0.1979	5	3	17	del
SYNJ2	1.00844	1.65217	0.001	0.2	2.43926	2.14271	1	2.43926	0.0901	0.1691	0.1691	19	3	5	del
EFR3B	0.708828	1.22435	0.001	0.2	2.05422	1.70809	1	2.05422	0.0906	0.0689	0.0933	11	5	7	del
ABR	1.04829	-1.30553	0.001	0.2	4.19743	-0.434271	1	4.19743	0.0907	0.0162	0.0173	49	11	236	del
SHPK	0.501819	1.70291	0.001	0.2	1.39504	0.401734	1	1.39504	0.091	0.098	0.0968	7	1	74	del
BICD1	1.12726	-1.03017	0.001	0.2	4.77057	-1.40753	1	4.77057	0.0918	0.0477	0.0401	122	11	41	del
DCLRE1C	0.873312	1.61318	0.001	0.2	1.01108	2.17358	0.531483	0.694383	0.0919	0.2356	0.3922	6	3	26	del
PSG9	0.430239	1.61624	0.001	0.2	1.25595	0.435739	1	1.25595	0.0919	0.1088	0.1048	4	1	56	del
PLB1	0.771527	1.12004	0.001	0.2	1.46851	0.957322	1	1.46851	0.0922	0.1562	0.1874	49	8	14	del
PNPLA4	0.60571	1.81244	0.001	0.2	1.57311	0.704552	1	1.57311	0.0935	0.0771	0.0699	2	1	26	del
OR1A1	0.64797	-1.85272	0.001	0.2	2.68327	-5	1	2.68327	0.0949	0.0949	0.0949	1	1	6	del
TRIM61	1.18985	-1.59028	0.001	0.2	5.57196	-5	1	5.57196	0.0954	0.0635	0.0635	15	3	11	del
MAGI2	0.622483	1.25621	0.001	0.2	0.946188	5	0.405605	0.520017	0.0974	0.1504	0.3021	53	7	8	del
MTUS1	0.584564	-1.79144	0.001	0.2	2.57998	-5	1	2.57998	0.0976	0.0976	0.0976	44	1	8	del
RAB27A	0.765931	1.36448	0.001	0.2	2.4426	1.66838	1	2.4426	0.1003	0.1659	0.1824	13	3	8	del
CTNNA3	1.43036	1.07894	0.001	0.2	0.306239	2.08306	0.266888	0.235331	0.1003	0.5166	0.5431	230	17	699	del
TMEM117	1.10269	1.62812	0.001	0.2	2.59303	5	0.683516	2.41112	0.1012	0.1012	0.1012	18	4	5	del
BCAS3	0.505134	-1.48104	0.001	0.2	1.80278	-0.653245	1	1.80278	0.1015	0.0727	0.0842	21	2	45	del
C7	1.10269	1.62812	0.001	0.2	2.59303	5	0.683516	2.41112	0.1021	0.1021	0.1021	25	4	5	del
NRG1	0.491796	-1.45719	0.001	0.2	1.8871	-0.975261	1	1.8871	0.1022	0.0737	0.0809	10	2	25	del
AGMO	1.21595	-1.21565	0.001	0.2	3.86217	-0.959072	1	3.86217	0.1031	0.048	0.0354	31	8	47	del
MSRA	0.603637	-0.981404	0.001	0.2	4.20023	-5	1	4.20023	0.105	0.0451	0.0448	37	6	10	del
TGFBR3	0.436956	1.26511	0.001	0.2	0.00461745	5	0.296181	1.07498	0.1074	0.6907	0.141	23	2	40	del
CYFIP1	0.462253	1.65634	0.001	0.2	1.32984	0.354496	1	1.32984	0.1075	0.1027	0.1115	35	1	94	del
AK5	1.21157	1.62412	0.001	0.2	3.36963	2.75886	1	3.36963	0.1085	0.12	0.12	47	3	5	del
OR6A2	0.487428	1.68632	0.001	0.2	1.35148	0.831988	1	1.35148	0.1101	0.1101	0.1101	1	1	16	del
GALNTL6	0.473308	1.98173	0.001	0.2	1.56467	0.568879	1	1.56467	0.1111	0.0804	0.0909	12	3	43	del
CD36	0.829009	1.3771	0.001	0.2	0.944661	2.73278	0.478558	1.08784	0.1131	0.3509	0.2535	33	4	26	del
EVC	0.805285	1.46491	0.001	0.2	2.19186	1.38678	1	2.19186	0.1136	0.0909	0.1399	16	4	10	del
EEFSEC	0.594624	1.15343	0.001	0.2	1.43275	1.32136	1	1.43275	0.1139	0.2484	0.2869	39	6	7	del
MAGI3	0.785399	1.52498	0.001	0.2	2.2768	1.6003	1	2.2768	0.1139	0.204	0.204	48	3	8	del
VPS13C	0.595338	1.26128	0.001	0.2	1.90544	1.54341	1	1.90544	0.1145	0.4483	0.4644	41	3	7	del
ALDH8A1	0.665772	1.47892	0.001	0.2	1.63233	1.12184	1	1.63233	0.1173	0.1109	0.0694	6	2	11	del
TRAP1	0.673632	-1.57038	0.001	0.2	2.1745	-0.736148	1	2.1745	0.1197	0.0587	0.0612	4	2	47	del
"PCDHGA1,PCDHGA2,PCDHGA3,PCDHGA4,PCDHGA5,PCDHGA6,PCDHGA7,PCDHGA8,PCDHGB1,PCDHGB2,PCDHGB3,PCDHGB4"	0.381257	-1.54994	0.001	0.2	1.32936	-0.84105	1	1.32936	0.1201	0.0903	0.066	1	1	24	del
"PCDHGA1,PCDHGA2,PCDHGA3,PCDHGA4,PCDHGA5,PCDHGA6,PCDHGA7,PCDHGB1,PCDHGB2,PCDHGB3,PCDHGB4"	0.381257	-1.54994	0.001	0.2	1.32936	-0.84105	1	1.32936	0.1201	0.0903	0.066	1	1	24	del
PCDHGB4	0.381257	-1.54994	0.001	0.2	1.32936	-0.84105	1	1.32936	0.1201	0.0903	0.066	1	1	24	del
CCDC85A	0.96674	1.63681	0.001	0.2	2.21362	2.04419	1	2.21362	0.121	0.121	0.2042	39	3	5	del
UGT1A1	0.499712	1.15705	0.001	0.2	1.16954	0.983556	1	1.16954	0.1212	0.203	0.1703	9	3	10	del
CARD16	0.637338	1.46069	0.001	0.2	1.84996	1.63137	1	1.84996	0.1252	0.3353	0.4004	3	2	6	del
LILRB1	0.446749	1.27754	0.001	0.2	1.34975	1.2954	1	1.34975	0.1269	0.2842	0.2723	9	2	8	del
WDPCP	0.782224	1.31925	0.001	0.2	1.33658	5	0.361115	0.737111	0.1283	0.2386	0.4118	50	10	17	del
ADGB	0.59613	1.13836	0.001	0.2	1.8442	1.88688	1	1.8442	0.1297	0.2685	0.2685	13	4	5	del
ZNF600	0.875261	1.7254	0.001	0.2	1.59667	5	0.573708	0.635851	0.1315	0.2935	0.5433	7	3	8	del
ZWINT	0.446033	1.63632	0.001	0.2	1.22051	1.54405	1	1.22051	0.1325	0.2828	0.2865	3	1	5	del
DNASE1	0.371551	-1.53599	0.001	0.2	1.25854	-0.582486	1	1.25854	0.1327	0.1327	0.1327	1	1	42	del
ZNF578	0.815866	1.43621	0.001	0.2	2.07957	1.64663	1	2.07957	0.133	0.2448	0.2447	5	3	8	del
COMT	0.817788	1.52238	0.001	0.2	1.39957	5	0.559403	1.0699	0.1344	0.2259	0.2335	7	3	14	del
KLF12	0.552687	0.995074	0.001	0.2	0.253515	2.14875	0.298137	1.38052	0.1351	0.5425	0.1159	30	8	52	del
LSAMP	0.641216	1.19116	0.001	0.2	1.58913	1.48803	1	1.58913	0.1353	0.3528	0.3264	19	5	6	del
ZNF92	0.314244	-1.44704	0.001	0.2	1.06858	-0.25055	1	1.06858	0.1366	0.1366	0.1366	2	1	170	del
PLA2G6	0.487301	1.23307	0.001	0.2	1.08025	1.45221	1	1.08025	0.1374	0.3077	0.3077	21	3	5	del
CALCOCO2	0.719241	-1.39787	0.001	0.2	4.08414	-5	1	4.08414	0.1405	0.0731	0.0731	21	3	10	del
ASB5	0.579463	-1.45981	0.001	0.2	2.83521	-5	1	2.83521	0.1408	0.1408	0.1408	10	2	5	del
STARD13	0.901523	1.46464	0.001	0.2	2.94098	2.65528	1	2.94098	0.145	0.145	0.145	96	3	5	del
ADARB2	0.534417	1.112	0.001	0.2	1.69031	0.801001	1	1.69031	0.1478	0.1045	0.0981	76	4	23	del
CCDC171	0.667737	1.16114	0.001	0.2	1.6806	1.19585	1	1.6806	0.148	0.1706	0.206	32	5	10	del
ABCA7	0.528438	-1.40141	0.001	0.2	2.70498	-5	1	2.70498	0.1523	0.1523	0.1523	5	2	5	del
RAP1GAP2	0.776432	1.35523	0.001	0.2	1.07628	0.946342	0.955035	1.07594	0.1525	0.3373	0.3177	27	6	11	del
CYP2B6	0.848976	-1.02358	0.001	0.2	3.57913	-1.62929	1	3.57913	0.1536	0.0711	0.0683	37	7	22	del
ERCC8	0.577973	-1.78477	0.001	0.2	2.42936	-5	1	2.42936	0.1543	0.086	0.086	8	1	5	del
MTMR3	0.341439	-1.19182	0.001	0.2	1.31865	-0.698761	1	1.31865	0.1552	0.0957	0.1077	24	2	30	del
C14orf177	0.291523	-1.40812	0.001	0.2	1.00348	-0.207146	1	1.00348	0.1558	0.1558	0.1558	1	1	231	del
SLC24A4	0.449633	1.86513	0.001	0.2	0.63215	5	0.310186	0.363497	0.1565	0.3095	0.6741	102	3	6	del
LRRFIP1	0.56415	1.08954	0.001	0.2	0.997335	0.949292	1	0.997335	0.1573	0.3267	0.3361	31	8	9	del
NIPA2	0.302862	1.42783	0.001	0.2	0.991125	0.31578	1	0.991125	0.1574	0.1543	0.1456	5	1	89	del
INSL3	0.354098	-1.51014	0.001	0.2	1.3277	-1.50391	1	1.3277	0.1575	0.1575	0.1575	1	1	9	del
GAS7	0.700022	1.52025	0.001	0.2	0.935923	5	0.396199	0.484755	0.1592	0.3847	0.3491	15	4	11	del
KIAA2026	0.518499	-1.72165	0.001	0.2	2.30095	-5	1	2.30095	0.1597	0.1	0.1	5	1	5	del
DCHS2	0.708337	1.06174	0.001	0.2	1.8916	1.19052	1	1.8916	0.1598	0.2924	0.2838	43	7	11	del
SEC14L5	0.515936	1.4876	0.001	0.2	1.02985	0.752047	1	1.02985	0.1598	0.2474	0.2464	39	2	15	del
ZNF415	0.383426	1.22392	0.001	0.2	0.0981178	5	0.330515	0.740987	0.1611	0.5304	0.2912	6	2	20	del
NRG3	1.53748	1.26999	0.001	0.2	3.37979	0.500341	1	3.37979	0.1635	0.125	0.1031	132	20	116	del
MOB3B	0.704206	1.4921	0.001	0.2	1.34936	5	0.46115	0.616274	0.1638	0.3407	0.5498	16	5	7	del
USP39	0.43165	-1.61806	0.001	0.2	2.08115	-5	1	2.08115	0.1641	0.1641	0.1641	2	1	5	del
AKAP3	0.618379	1.34165	0.001	0.2	1.81541	1.8676	1	1.81541	0.1644	0.2637	0.2061	16	3	5	del
ACOXL	0.484625	-1.41102	0.001	0.2	2.75467	-5	1	2.75467	0.1644	0.1073	0.1073	75	2	7	del
ABCC11	0.799807	1.56448	0.001	0.2	1.5403	1.46869	1	1.5403	0.1649	0.4551	0.4551	20	4	6	del
PLAC9	0.437954	-1.62612	0.001	0.2	2.08488	-5	1	2.08488	0.1654	0.1654	0.1654	1	1	5	del
TMEM254	0.437954	-1.62612	0.001	0.2	2.08488	-5	1	2.08488	0.1654	0.1654	0.1654	3	1	5	del
APCS	0.450651	-1.64208	0.001	0.2	2.1284	-5	1	2.1284	0.1662	0.1662	0.1662	1	1	5	del
OR10J5	0.450651	-1.64208	0.001	0.2	2.1284	-5	1	2.1284	0.1662	0.1662	0.1662	1	1	5	del
ABO	0.541039	1.74623	0.001	0.2	1.40986	1.41307	1	1.40986	0.1672	0.148	0.1827	4	1	6	del
RARRES1	0.692809	-1.58286	0.001	0.2	3.53756	-5	1	3.53756	0.1727	0.081	0.081	7	2	9	del
MPHOSPH6	0.360203	-1.5193	0.001	0.2	1.39785	-1.48117	1	1.39785	0.1734	0.1734	0.1734	9	1	10	del
ZNF883	0.335142	-1.48088	0.001	0.2	1.31543	-1.4461	1	1.31543	0.1735	0.1735	0.1735	2	1	9	del
ST6GALNAC3	0.439822	-0.826292	0.001	0.2	2.42445	-1.81679	1	2.42445	0.1735	0.1055	0.0978	83	6	17	del
SLC3A1	0.622521	1.24722	0.001	0.2	1.94062	0.646764	1	1.94062	0.174	0.1423	0.1564	13	3	38	del
BTN2A2	0.388107	-1.55961	0.001	0.2	1.96421	-5	1	1.96421	0.1741	0.1741	0.1741	10	1	5	del
C9orf135	0.314712	-1.17203	0.001	0.2	2.01983	-5	1	2.01983	0.1743	0.1743	0.1743	5	2	5	del
TUBGCP5	0.306012	1.4332	0.001	0.2	0.998613	0.307914	1	0.998613	0.1747	0.151	0.1641	8	1	94	del
CNTN5	0.888764	-0.767212	0.001	0.2	2.55843	-5	0.511043	1.26644	0.1752	0.0949	0.1468	126	18	171	del
NRXN1	1.11717	1.25534	0.001	0.2	1.97671	0.319122	1	1.97671	0.1795	0.2399	0.2198	124	18	180	del
BUB1	0.314143	-1.44687	0.001	0.2	1.25368	-1.42162	1	1.25368	0.1803	0.1803	0.1803	3	1	9	del
GPHN	0.616878	-1.12853	0.001	0.2	0.794717	-1.7711	0.539062	1.48966	0.1809	0.2726	0.1267	15	4	65	del
SLC7A5	0.415499	1.59696	0.001	0.2	1.21732	1.34082	1	1.21732	0.181	0.1693	0.1689	30	1	6	del
CEACAM3	0.741897	1.42371	0.001	0.2	2.14691	2.06147	1	2.14691	0.1815	0.1815	0.1815	10	3	5	del
KDM4C	0.839364	1.26698	0.001	0.2	0.778229	2.26411	0.402723	0.09199	0.1833	0.4506	0.7952	179	7	42	del
ANXA11	0.66617	-1.48848	0.001	0.2	3.40576	-5	1	3.40576	0.1845	0.1395	0.1395	5	2	8	del
OR51I1	0.355192	-1.51179	0.001	0.2	1.9065	-5	1	1.9065	0.1852	0.1852	0.1852	1	1	6	del
OR51I2	0.355192	-1.51179	0.001	0.2	1.9065	-5	1	1.9065	0.1852	0.1852	0.1852	1	1	6	del
